method,name,x,sx,y,sy,type,reference
U-Pb,NIST610,3.873579,0.0001,0.9097788,0.0001,Woodhead and Hergt (2001),
U-Pb,NIST612,3.459342,0.0001,0.9073359,0.0001,Woodhead and Hergt (2001),
U-Pb,NIST614,1.23498,0.0001,0.8710256,0.0001,Woodhead and Hergt (2001),
Rb-Sr,NIST610,3.368469,0.0001,1.4090481,0.0001,Woodhead and Hergt (2001),
Rb-Sr,NIST612,1.635059,0.0001,1.4103119,0.0001,Woodhead and Hergt (2001),
Rb-Sr,NIST614,0.076282,0.0001,1.4117056,0.0001,Woodhead and Hergt (2001),
Sm-Nd,NIST610,1.244807,0.0001,1.9534035,0.0001,Woodhead and Hergt (2001),
Sm-Nd,NIST612,1.254825,0.0001,1.9533921,0.0001,Woodhead and Hergt (2001),
Sm-Nd,NIST614,1.184762,0.0001,1.9534302,0.0001,Woodhead and Hergt (2001),
Re-Os,NiS-3,0,0,6.74,0.002,Völkening et al. (1991),
U-Pb,Plesovice_zr,18.6195,0.0037,0.05332,0.19,Horstwood et al. (2016),
U-Pb,91500_zr,5.57351,0.00195,0.074989,0.075,Horstwood et al. (2016),
U-Pb,GJ1_zr,10.2169,0.00358,0.060171,0.08,Horstwood et al. (2016),
U-Pb,MudTank_zr,8.31878,0.00582,0.06402,1,Horstwood et al. (2016),
U-Pb,Stern_mz,12.0992,0.0175,0.05735,0.26,Horstwood et al. (2016),
U-Pb,Moacyr_mz,12.0091,0.0216,0.0613,3.8,Horstwood et al. (2016),
U-Pb,Ontario2_tit,5.3362,0.0176,0.1187,1.9,Horstwood et al. (2016),
Re-Os,QMolyHill,2624,2.5,0,0,Tamblyn et al. (2024),
