method,name,mineral,t,st,y0,sy0,reference
Lu-Hf,Hogsbo,garnet,1029.7,0.7,3.55,0.05,Romer and Smeds (1996)
Lu-Hf,BP,garnet,1745,7,3.55,0.05,Lane (2011)
Lu-Hf,ME-1,calcite,1531,7,3.547973929,0.00046576,Simpson et al. (2021)
Lu-Hf,TS,monazite,910.42,0.17,3.55,0.05,Budzyn et al. (2021)
Lu-Hf,Madel,monazite,513.9,0.8,3.55,0.05,Payne et al. (2008)
Lu-Hf,Diamantina,monazite,495.26,0.27,3.55,0.05,Goncalves et al. (2017)
Lu-Hf,222,monazite,449.7,1.5,3.55,0.05,Richter et al. (2019)
Lu-Hf,RW1,monazite,904.15,0.13,3.55,0.05,Ling et al. (2016)
Rb-Sr,MDC,biotite,519.4,3.25,1.37728,0.00066,Hogmalm et al. (2017)
Rb-Sr,Mica-Mg,pressed powder,519.4,3.25,1.37728,0.00035,Hogmalm et al. (2017)
U-Pb,WC1,calcite,254.4,3.2,0.85,0.02,Roberts et al. (2017)
U-Pb,RA138,calcite,321.99,0.325,0.8495,0.00325,Guillong et al. (2024)
U-Pb,McClure,apatite,524.5,1.85,0.88198,0.001,Schoene and Bowring (2006)
U-Pb,Durango,apatite,32.683,0.025,0.861462,0.013,Paul et al. (2021)
U-Pb,401,apatite,530.3,0.75,0.8720402,0.001,Thompson et al. (2016)
U-Pb,OD306,apatite,1596.7,3.55,0.9620965,0.001,Thompson et al. (2016)
Rb-Sr,EntireCreek,biotite,312.1,2.535,1.37701,0.000345,Mortimer et al. (1987)
Lu-Hf,GWA-1,garnet,1267,1.5,3.553471,0.0001515,Ribeiro et al. (2024)
Lu-Hf,GWA-2,garnet,934.7,0.7,3.553837078,0.0001642,Ribeiro et al. (2024)
Lu-Hf,MG-1,xenotime,490.13,0.25,3.55,0.05,Fletcher at al. (2004)
U-Pb,MAD,apatite,475,4,0.71,0.1,Apen et al. (2022)
U-Pb,222,monazite,449.7,1.5,0.86619,0.001,Richter et al. (2019)
U-Pb,TS,monazite,910.42,0.17,0.90137,0.001,Budzyn et al. (2021)
U-Pb,Madel,monazite,513.9,0.8,0.870959,0.001,Payne et al. (2008)
U-Pb,Diamantina,monazite,495.26,0.27,0.869446,0.001,Goncalves et al. (2017)
U-Pb,RW1,monazite,904.15,0.13,0.9008961,0.0001,Ling et al. (2016)
K-Ca,MDC,biotite,519.4,3.25,0.021569,0.00001,Hogmalm et al. (2017)
K-Ca,EntireCreek,biotite,312.1,2.535,0.021569,0.00001,Mortimer et al. (1987)
U-Pb,NW-1,apatite,1060,2.5,0.9137766,0.0004,Li et al. (2012)
U-Pb,EmeraldLake,apatite,95.17,0.52,0.8318,0.002,Apen et al. (2025)
U-Pb,ASH15,calcite,2.965,0.0055,0.8306,0.00165,Nuriel et al. (2021)
